ticket,principal,resourceType,name,patternType,operations
103097,User:UT12453,topic,t_networking_,prefixed,Describe|Read
103097,User:UT12453,consumerGroup,dev_networking_consumer,prefixed,Describe|Read
103097,User:UT12453,consumerGroup,networking_consumer,prefixed,Describe|Read
103097,User:UT12881,topic,t_networking_,prefixed,Describe|Read
103097,User:UT12881,consumerGroup,dev_networking_consumer,prefixed,Describe|Read
103097,User:UT12881,consumerGroup,networking_consumer,prefixed,Describe|Read
103097,User:UT15038,topic,t_networking_,prefixed,Describe|Read
103097,User:UT15038,consumerGroup,dev_networking_consumer,prefixed,Describe|Read
103097,User:UT15038,consumerGroup,networking_consumer,prefixed,Describe|Read
103097,User:UM09446,topic,t_networking_,prefixed,Describe|Read
103097,User:UM09446,consumerGroup,dev_networking_consumer,prefixed,Describe|Read
103097,User:UM09446,consumerGroup,networking_consumer,prefixed,Describe|Read
103097,User:UM09524,topic,t_networking_,prefixed,Describe|Read
103097,User:UM09524,consumerGroup,dev_networking_consumer,prefixed,Describe|Read
103097,User:UM09524,consumerGroup,networking_consumer,prefixed,Describe|Read
103097,User:UT15839,topic,t_networking_,prefixed,Describe|Read
103097,User:UT15839,consumerGroup,dev_networking_consumer,prefixed,Describe|Read
103097,User:UT15839,consumerGroup,networking_consumer,prefixed,Describe|Read
